Các điểm E(-1, 188):
(485, 738)
(486, 355)
(486, 396)
(487, 371)
(487, 380)
(488, 59)
(488, 692)
(490, 207)
(490, 544)
(492, 167)
(492, 584)
(493, 48)
(493, 703)
(495, 356)
(495, 395)
(496, 97)
(496, 654)
(500, 368)
(500, 383)
(501, 155)
(501, 596)
(503, 241)
(503, 510)
(508, 83)
(508, 668)
(510, 322)
(510, 429)
(512, 298)
(512, 453)
(513, 141)
(513, 610)
(514, 201)
(514, 550)
(520, 328)
(520, 423)
(522, 282)
(522, 469)
(529, 254)
(529, 497)
(531, 194)
(531, 557)
(532, 44)
(532, 707)
(533, 74)
(533, 677)
(537, 355)
(537, 396)
(538, 77)
(538, 674)
(540, 274)
(540, 477)
(543, 61)
(543, 690)
(545, 370)
(545, 381)
(546, 352)
(546, 399)
(547, 299)
(547, 452)
(549, 244)
(549, 507)
(551, 231)
(551, 520)
(553, 230)
(553, 521)
(555, 307)
(555, 444)
(556, 120)
(556, 631)
(562, 201)
(562, 550)
(565, 194)
(565, 557)
(566, 344)
(566, 407)
(570, 240)
(570, 511)
(575, 329)
(575, 422)
(578, 99)
(578, 652)
(579, 286)
(579, 465)
(581, 20)
(581, 731)
(582, 15)
(582, 736)
(583, 177)
(583, 574)
(584, 271)
(584, 480)
(585, 108)
(585, 643)
(586, 162)
(586, 589)
(589, 79)
(589, 672)
(591, 104)
(591, 647)
(592, 91)
(592, 660)
(594, 141)
(594, 610)
(595, 79)
(595, 672)
(597, 328)
(597, 423)
(599, 371)
(599, 380)
(600, 310)
(600, 441)
(603, 164)
(603, 587)
(604, 210)
(604, 541)
(605, 297)
(605, 454)
(607, 18)
(607, 733)
(609, 125)
(609, 626)
(612, 163)
(612, 588)
(617, 149)
(617, 602)
(620, 106)
(620, 645)
(621, 155)
(621, 596)
(622, 242)
(622, 509)
(623, 47)
(623, 704)
(624, 295)
(624, 456)
(627, 59)
(627, 692)
(628, 149)
(628, 602)
(629, 206)
(629, 545)
(632, 80)
(632, 671)
(634, 94)
(634, 657)
(635, 242)
(635, 509)
(636, 92)
(636, 659)
(637, 301)
(637, 450)
(639, 343)
(639, 408)
(646, 162)
(646, 589)
(648, 138)
(648, 613)
(649, 57)
(649, 694)
(650, 58)
(650, 693)
(653, 329)
(653, 422)
(654, 263)
(654, 488)
(657, 156)
(657, 595)
(658, 57)
(658, 694)
(660, 257)
(660, 494)
(661, 179)
(661, 572)
(663, 257)
(663, 494)
(664, 108)
(664, 643)
(666, 85)
(666, 666)
(667, 180)
(667, 571)
(671, 193)
(671, 558)
(672, 212)
(672, 539)
(676, 193)
(676, 558)
(677, 332)
(677, 419)
(678, 42)
(678, 709)
(680, 94)
(680, 657)
(681, 312)
(681, 439)
(683, 343)
(683, 408)
(684, 119)
(684, 632)
(686, 358)
(686, 393)
(687, 244)
(687, 507)
(688, 327)
(688, 424)
(689, 352)
(689, 399)
(693, 70)
(693, 681)
(694, 199)
(694, 552)
(695, 170)
(695, 581)
(696, 90)
(696, 661)
(697, 279)
(697, 472)
(701, 203)
(701, 548)
(704, 186)
(704, 565)
(705, 112)
(705, 639)
(708, 230)
(708, 521)
(710, 20)
(710, 731)
(712, 100)
(712, 651)
(714, 173)
(714, 578)
(715, 83)
(715, 668)
(717, 150)
(717, 601)
(720, 181)
(720, 570)
(721, 241)
(721, 510)
(722, 164)
(722, 587)
(723, 304)
(723, 447)
(729, 78)
(729, 673)
(731, 222)
(731, 529)
(732, 180)
(732, 571)
(733, 265)
(733, 486)
(734, 199)
(734, 552)
(735, 46)
(735, 705)
(740, 362)
(740, 389)
(742, 74)
(742, 677)
(743, 154)
(743, 597)
(745, 27)
(745, 724)
(747, 153)
(747, 598)
------------------
Bảng kP:
k=1, lambda=None, x3=None, y3=None, kP=(3, 10)
k=2, lambda=527, x3=604, y3=185, kP=(604, 185)
k=3, lambda=124, x3=500, y3=695, kP=(500, 695)
k=4, lambda=18, x3=572, y3=262, kP=(572, 262)
k=5, lambda=403, x3=369, y3=439, kP=(369, 439)
k=6, lambda=192, x3=444, y3=181, kP=(444, 181)
k=7, lambda=123, x3=413, y3=628, kP=(413, 628)
k=8, lambda=573, x3=477, y3=250, kP=(477, 250)
k=9, lambda=742, x3=352, y3=127, kP=(352, 127)
k=10, lambda=364, x3=716, y3=304, kP=(716, 304)
k=11, lambda=348, x3=225, y3=87, kP=(225, 87)
k=12, lambda=227, x3=233, y3=350, kP=(233, 350)
k=13, lambda=328, x3=706, y3=714, kP=(706, 714)
k=14, lambda=486, x3=424, y3=407, kP=(424, 407)
k=15, lambda=83, x3=454, y3=107, kP=(454, 107)
k=16, lambda=618, x3=710, y3=146, kP=(710, 146)
k=17, lambda=270, x3=91, y3=262, kP=(91, 262)
k=18, lambda=37, x3=524, y3=239, kP=(524, 239)
k=19, lambda=159, x3=722, y3=572, kP=(722, 572)
k=20, lambda=311, x3=619, y3=670, kP=(619, 670)
k=21, lambda=162, x3=88, y3=489, kP=(88, 489)
k=22, lambda=147, x3=490, y3=497, kP=(490, 497)
k=23, lambda=1, x3=259, y3=485, kP=(259, 485)
k=24, lambda=128, x3=351, y3=506, kP=(351, 506)
k=25, lambda=692, x3=123, y3=311, kP=(123, 311)
k=26, lambda=184, x3=686, y3=486, kP=(686, 486)
k=27, lambda=744, x3=111, y3=746, kP=(111, 746)
k=28, lambda=730, x3=327, y3=35, kP=(327, 35)
k=29, lambda=262, x3=724, y3=340, kP=(724, 340)
k=30, lambda=740, x3=145, y3=50, kP=(145, 50)
k=31, lambda=508, x3=323, y3=397, kP=(323, 397)
k=32, lambda=196, x3=540, y3=629, kP=(540, 629)
k=33, lambda=520, x3=248, y3=260, kP=(248, 260)
k=34, lambda=47, x3=456, y3=478, kP=(456, 478)
k=35, lambda=195, x3=16, y3=459, kP=(16, 459)
k=36, lambda=670, x3=534, y3=194, kP=(534, 194)
k=37, lambda=559, x3=279, y3=412, kP=(279, 412)
k=38, lambda=279, x3=206, y3=429, kP=(206, 429)
k=39, lambda=483, x3=270, y3=201, kP=(270, 201)
k=40, lambda=417, x3=135, y3=520, kP=(135, 520)
k=41, lambda=38, x3=555, y3=42, kP=(555, 42)
k=42, lambda=381, x3=411, y3=750, kP=(411, 750)
k=43, lambda=716, x3=60, y3=483, kP=(60, 483)
k=44, lambda=61, x3=654, y3=82, kP=(654, 82)
k=45, lambda=540, x3=306, y3=88, kP=(306, 88)
k=46, lambda=30, x3=591, y3=374, kP=(591, 374)
k=47, lambda=394, x3=687, y3=103, kP=(687, 103)
k=48, lambda=234, x3=745, y3=594, kP=(745, 594)
k=49, lambda=102, x3=644, y3=696, kP=(644, 696)
k=50, lambda=103, x3=199, y3=79, kP=(199, 79)
k=51, lambda=418, x3=290, y3=184, kP=(290, 184)
k=52, lambda=469, x3=376, y3=36, kP=(376, 36)
k=53, lambda=290, x3=360, y3=98, kP=(360, 98)
k=54, lambda=320, x3=652, y3=337, kP=(652, 337)
k=55, lambda=549, x3=346, y3=184, kP=(346, 184)
k=56, lambda=607, x3=110, y3=378, kP=(110, 378)
k=57, lambda=214, x3=623, y3=237, kP=(623, 237)
k=58, lambda=4, x3=141, y3=189, kP=(141, 189)
k=59, lambda=170, x3=218, y3=239, kP=(218, 239)
k=60, lambda=284, x3=78, y3=469, kP=(78, 469)
k=61, lambda=667, x3=216, y3=609, kP=(216, 609)
k=62, lambda=165, x3=721, y3=178, kP=(721, 178)
k=63, lambda=268, x3=506, y3=366, kP=(506, 366)
k=64, lambda=689, x3=331, y3=49, kP=(331, 49)
k=65, lambda=181, x3=134, y3=311, kP=(134, 311)
k=66, lambda=352, x3=603, y3=572, kP=(603, 572)
k=67, lambda=424, x3=432, y3=587, kP=(432, 587)
k=68, lambda=467, x3=615, y3=317, kP=(615, 317)
k=69, lambda=14, x3=329, y3=683, kP=(329, 683)
k=70, lambda=525, x3=427, y3=437, kP=(427, 437)
k=71, lambda=63, x3=535, y3=269, kP=(535, 269)
k=72, lambda=208, x3=670, y3=189, kP=(670, 189)
k=73, lambda=579, x3=373, y3=546, kP=(373, 546)
k=74, lambda=517, x3=308, y3=15, kP=(308, 15)
k=75, lambda=197, x3=197, y3=73, kP=(197, 73)
k=76, lambda=701, x3=47, y3=688, kP=(47, 688)
k=77, lambda=664, x3=9, y3=512, kP=(9, 512)
k=78, lambda=334, x3=396, y3=153, kP=(396, 153)
k=79, lambda=94, x3=176, y3=250, kP=(176, 250)
k=80, lambda=722, x3=662, y3=326, kP=(662, 326)
k=81, lambda=519, x3=589, y3=11, kP=(589, 11)
k=82, lambda=619, x3=310, y3=711, kP=(310, 711)
k=83, lambda=220, x3=23, y3=96, kP=(23, 96)
k=84, lambda=530, x3=0, y3=78, kP=(0, 78)
k=85, lambda=478, x3=177, y3=179, kP=(177, 179)
k=86, lambda=411, x3=517, y3=518, kP=(517, 518)
k=87, lambda=714, x3=98, y3=501, kP=(98, 501)
k=88, lambda=353, x3=593, y3=498, kP=(593, 498)
k=89, lambda=678, x3=227, y3=571, kP=(227, 571)
k=90, lambda=435, x3=494, y3=440, kP=(494, 440)
k=91, lambda=85, x3=720, y3=627, kP=(720, 627)
k=92, lambda=269, x3=293, y3=84, kP=(293, 84)
k=93, lambda=715, x3=249, y3=585, kP=(249, 585)
k=94, lambda=445, x3=260, y3=528, kP=(260, 528)
k=95, lambda=303, x3=675, y3=646, kP=(675, 646)
k=96, lambda=68, x3=191, y3=724, kP=(191, 724)
k=97, lambda=603, x3=682, y3=599, kP=(682, 599)
k=98, lambda=190, x3=118, y3=670, kP=(118, 670)
k=99, lambda=169, x3=653, y3=537, kP=(653, 537)
k=100, lambda=374, x3=285, y3=413, kP=(285, 413)
k=101, lambda=574, x3=250, y3=151, kP=(250, 151)
k=102, lambda=183, x3=192, y3=700, kP=(192, 700)
k=103, lambda=552, x3=354, y3=747, kP=(354, 747)
k=104, lambda=537, x3=379, y3=97, kP=(379, 97)
k=105, lambda=174, x3=605, y3=382, kP=(605, 382)
k=106, lambda=310, x3=115, y3=567, kP=(115, 567)
k=107, lambda=414, x3=50, y3=58, kP=(50, 58)
k=108, lambda=17, x3=236, y3=535, kP=(236, 535)
