Các điểm E(-1, 188):
k=296, lambda=134, x3=49, y3=585, kP=(49, 585)
k=297, lambda=388, x3=292, y3=508, kP=(292, 508)
k=298, lambda=233, x3=673, y3=88, kP=(673, 88)
k=299, lambda=305, x3=727, y3=715, kP=(727, 715)
k=300, lambda=558, x3=471, y3=194, kP=(471, 194)
k=301, lambda=71, x3=61, y3=378, kP=(61, 378)
k=302, lambda=343, x3=429, y3=317, kP=(429, 317)
k=303, lambda=73, x3=391, y3=204, kP=(391, 204)
k=304, lambda=376, x3=545, y3=470, kP=(545, 470)
k=305, lambda=641, x3=287, y3=439, kP=(287, 439)
k=306, lambda=734, x3=750, y3=673, kP=(750, 673)
k=307, lambda=22, x3=482, y3=717, kP=(482, 717)
k=308, lambda=210, x3=57, y3=666, kP=(57, 666)
k=309, lambda=485, x3=102, y3=39, kP=(102, 39)
k=310, lambda=372, x3=95, y3=312, kP=(95, 312)
k=311, lambda=640, x3=207, y3=104, kP=(207, 104)
k=312, lambda=52, x3=241, y3=381, kP=(241, 381)
k=313, lambda=112, x3=284, y3=60, kP=(284, 60)
k=314, lambda=671, x3=105, y3=640, kP=(105, 640)
k=315, lambda=713, x3=585, y3=327, kP=(585, 327)
k=316, lambda=87, x3=222, y3=463, kP=(222, 463)
k=317, lambda=393, x3=269, y3=592, kP=(269, 592)
k=318, lambda=149, x3=150, y3=617, kP=(150, 617)
k=319, lambda=45, x3=370, y3=748, kP=(370, 748)
k=320, lambda=620, x3=266, y3=648, kP=(266, 648)
k=321, lambda=248, x3=404, y3=425, kP=(404, 425)
k=322, lambda=31, x3=554, y3=182, kP=(554, 182)
k=323, lambda=645, x3=165, y3=640, kP=(165, 640)
k=324, lambda=588, x3=116, y3=385, kP=(116, 385)
k=325, lambda=535, x3=726, y3=701, kP=(726, 701)
k=326, lambda=324, x3=609, y3=408, kP=(609, 408)
k=327, lambda=712, x3=158, y3=27, kP=(158, 27)
k=328, lambda=160, x3=656, y3=650, kP=(656, 650)
k=329, lambda=300, x3=723, y3=278, kP=(723, 278)
k=330, lambda=597, x3=460, y3=525, kP=(460, 525)
k=331, lambda=57, x3=533, y3=571, kP=(533, 571)
k=332, lambda=113, x3=217, y3=591, kP=(217, 591)
k=333, lambda=673, x3=607, y3=540, kP=(607, 540)
k=334, lambda=635, x3=79, y3=545, kP=(79, 545)
k=335, lambda=511, x3=442, y3=210, kP=(442, 210)
k=336, lambda=423, x3=497, y3=557, kP=(497, 557)
k=337, lambda=331, x3=166, y3=109, kP=(166, 109)
k=338, lambda=747, x3=598, y3=117, kP=(598, 117)
k=339, lambda=370, x3=368, y3=120, kP=(368, 120)
k=340, lambda=669, x3=345, y3=247, kP=(345, 247)
k=341, lambda=587, x3=263, y3=574, kP=(263, 574)
k=342, lambda=395, x3=302, y3=543, kP=(302, 543)
k=343, lambda=263, x3=523, y3=663, kP=(523, 663)
k=344, lambda=228, x3=390, y3=372, kP=(390, 372)
k=345, lambda=358, x3=101, y3=203, kP=(101, 203)
k=346, lambda=684, x3=630, y3=694, kP=(630, 694)
k=347, lambda=479, x3=504, y3=331, kP=(504, 331)
k=348, lambda=212, x3=128, y3=526, kP=(128, 526)
k=349, lambda=659, x3=72, y3=330, kP=(72, 330)
k=350, lambda=440, x3=518, y3=192, kP=(518, 192)
k=351, lambda=362, x3=600, y3=164, kP=(600, 164)
k=352, lambda=750, x3=149, y3=136, kP=(149, 136)
k=353, lambda=721, x3=748, y3=561, kP=(748, 561)
k=354, lambda=534, x3=527, y3=297, kP=(527, 297)
k=355, lambda=538, x3=530, y3=342, kP=(530, 342)
k=356, lambda=602, x3=640, y3=277, kP=(640, 277)
k=357, lambda=136, x3=580, y3=373, kP=(580, 373)
k=358, lambda=477, x3=144, y3=323, kP=(144, 323)
k=359, lambda=668, x3=734, y3=583, kP=(734, 583)
k=360, lambda=84, x3=311, y3=403, kP=(311, 403)
k=361, lambda=111, x3=742, y3=571, kP=(742, 571)
k=362, lambda=141, x3=361, y3=580, kP=(361, 580)
k=363, lambda=182, x3=467, y3=405, kP=(467, 405)
k=364, lambda=433, x3=20, y3=139, kP=(20, 139)
k=365, lambda=361, x3=375, y3=127, kP=(375, 127)
k=366, lambda=503, x3=295, y3=310, kP=(295, 310)
k=367, lambda=608, x3=625, y3=318, kP=(625, 318)
k=368, lambda=638, x3=125, y3=258, kP=(125, 258)
k=369, lambda=396, x3=480, y3=350, kP=(480, 350)
k=370, lambda=377, x3=458, y3=434, kP=(458, 434)
k=371, lambda=506, x3=235, y3=505, kP=(235, 505)
k=372, lambda=724, x3=491, y3=399, kP=(491, 399)
k=373, lambda=661, x3=96, y3=99, kP=(96, 99)
k=374, lambda=542, x3=24, y3=624, kP=(24, 624)
k=375, lambda=65, x3=443, y3=679, kP=(443, 679)
k=376, lambda=447, x3=348, y3=481, kP=(348, 481)
k=377, lambda=674, x3=321, y3=444, kP=(321, 444)
k=378, lambda=110, x3=511, y3=435, kP=(511, 435)
k=379, lambda=570, x3=705, y3=133, kP=(705, 133)
k=380, lambda=350, x3=130, y3=600, kP=(130, 600)
k=381, lambda=117, x3=38, y3=401, kP=(38, 401)
k=382, lambda=97, x3=356, y3=295, kP=(356, 295)
k=383, lambda=488, x3=469, y3=135, kP=(469, 135)
k=384, lambda=408, x3=21, y3=156, kP=(21, 156)
k=385, lambda=175, x3=561, y3=721, kP=(561, 721)
k=386, lambda=401, x3=274, y3=214, kP=(274, 214)
k=387, lambda=131, x3=362, y3=274, kP=(362, 274)
k=388, lambda=735, x3=642, y3=451, kP=(642, 451)
k=389, lambda=43, x3=453, y3=166, kP=(453, 166)
k=390, lambda=491, x3=305, y3=406, kP=(305, 406)
k=391, lambda=623, x3=305, y3=345, kP=(305, 345)
k=392, lambda=491, x3=453, y3=585, kP=(453, 585)
k=393, lambda=43, x3=642, y3=300, kP=(642, 300)
k=394, lambda=735, x3=362, y3=477, kP=(362, 477)
k=395, lambda=131, x3=274, y3=537, kP=(274, 537)
k=396, lambda=401, x3=561, y3=30, kP=(561, 30)
k=397, lambda=175, x3=21, y3=595, kP=(21, 595)
k=398, lambda=408, x3=469, y3=616, kP=(469, 616)
k=399, lambda=488, x3=356, y3=456, kP=(356, 456)
k=400, lambda=97, x3=38, y3=350, kP=(38, 350)
k=401, lambda=117, x3=130, y3=151, kP=(130, 151)
k=402, lambda=350, x3=705, y3=618, kP=(705, 618)
k=403, lambda=570, x3=511, y3=316, kP=(511, 316)
k=404, lambda=110, x3=321, y3=307, kP=(321, 307)
k=405, lambda=674, x3=348, y3=270, kP=(348, 270)
k=406, lambda=447, x3=443, y3=72, kP=(443, 72)
k=407, lambda=65, x3=24, y3=127, kP=(24, 127)
k=408, lambda=542, x3=96, y3=652, kP=(96, 652)
k=409, lambda=661, x3=491, y3=352, kP=(491, 352)
k=410, lambda=724, x3=235, y3=246, kP=(235, 246)
k=411, lambda=506, x3=458, y3=317, kP=(458, 317)
k=412, lambda=377, x3=480, y3=401, kP=(480, 401)
k=413, lambda=396, x3=125, y3=493, kP=(125, 493)
k=414, lambda=638, x3=625, y3=433, kP=(625, 433)
k=415, lambda=608, x3=295, y3=441, kP=(295, 441)
k=416, lambda=503, x3=375, y3=624, kP=(375, 624)
k=417, lambda=361, x3=20, y3=612, kP=(20, 612)
k=418, lambda=433, x3=467, y3=346, kP=(467, 346)
k=419, lambda=182, x3=361, y3=171, kP=(361, 171)
k=420, lambda=141, x3=742, y3=180, kP=(742, 180)
k=421, lambda=111, x3=311, y3=348, kP=(311, 348)
k=422, lambda=84, x3=734, y3=168, kP=(734, 168)
k=423, lambda=668, x3=144, y3=428, kP=(144, 428)
k=424, lambda=477, x3=580, y3=378, kP=(580, 378)
k=425, lambda=136, x3=640, y3=474, kP=(640, 474)
k=426, lambda=602, x3=530, y3=409, kP=(530, 409)
k=427, lambda=538, x3=527, y3=454, kP=(527, 454)
k=428, lambda=534, x3=748, y3=190, kP=(748, 190)
k=429, lambda=721, x3=149, y3=615, kP=(149, 615)
k=430, lambda=750, x3=600, y3=587, kP=(600, 587)
k=431, lambda=362, x3=518, y3=559, kP=(518, 559)
k=432, lambda=440, x3=72, y3=421, kP=(72, 421)
k=433, lambda=659, x3=128, y3=225, kP=(128, 225)
k=434, lambda=212, x3=504, y3=420, kP=(504, 420)
k=435, lambda=479, x3=630, y3=57, kP=(630, 57)
k=436, lambda=684, x3=101, y3=548, kP=(101, 548)
k=437, lambda=358, x3=390, y3=379, kP=(390, 379)
k=438, lambda=228, x3=523, y3=88, kP=(523, 88)
k=439, lambda=263, x3=302, y3=208, kP=(302, 208)
k=440, lambda=395, x3=263, y3=177, kP=(263, 177)
k=441, lambda=587, x3=345, y3=504, kP=(345, 504)
k=442, lambda=669, x3=368, y3=631, kP=(368, 631)
k=443, lambda=370, x3=598, y3=634, kP=(598, 634)
k=444, lambda=747, x3=166, y3=642, kP=(166, 642)
k=445, lambda=331, x3=497, y3=194, kP=(497, 194)
k=446, lambda=423, x3=442, y3=541, kP=(442, 541)
k=447, lambda=511, x3=79, y3=206, kP=(79, 206)
k=448, lambda=635, x3=607, y3=211, kP=(607, 211)
k=449, lambda=673, x3=217, y3=160, kP=(217, 160)
k=450, lambda=113, x3=533, y3=180, kP=(533, 180)
k=451, lambda=57, x3=460, y3=226, kP=(460, 226)
k=452, lambda=597, x3=723, y3=473, kP=(723, 473)
k=453, lambda=300, x3=656, y3=101, kP=(656, 101)
k=454, lambda=160, x3=158, y3=724, kP=(158, 724)
k=455, lambda=712, x3=609, y3=343, kP=(609, 343)
k=456, lambda=324, x3=726, y3=50, kP=(726, 50)
k=457, lambda=535, x3=116, y3=366, kP=(116, 366)
k=458, lambda=588, x3=165, y3=111, kP=(165, 111)
k=459, lambda=645, x3=554, y3=569, kP=(554, 569)
k=460, lambda=31, x3=404, y3=326, kP=(404, 326)
k=461, lambda=248, x3=266, y3=103, kP=(266, 103)
k=462, lambda=620, x3=370, y3=3, kP=(370, 3)
k=463, lambda=45, x3=150, y3=134, kP=(150, 134)
k=464, lambda=149, x3=269, y3=159, kP=(269, 159)
k=465, lambda=393, x3=222, y3=288, kP=(222, 288)
k=466, lambda=87, x3=585, y3=424, kP=(585, 424)
k=467, lambda=713, x3=105, y3=111, kP=(105, 111)
k=468, lambda=671, x3=284, y3=691, kP=(284, 691)
k=469, lambda=112, x3=241, y3=370, kP=(241, 370)
k=470, lambda=52, x3=207, y3=647, kP=(207, 647)
k=471, lambda=640, x3=95, y3=439, kP=(95, 439)
k=472, lambda=372, x3=102, y3=712, kP=(102, 712)
k=473, lambda=485, x3=57, y3=85, kP=(57, 85)
k=474, lambda=210, x3=482, y3=34, kP=(482, 34)
k=475, lambda=22, x3=750, y3=78, kP=(750, 78)
k=476, lambda=734, x3=287, y3=312, kP=(287, 312)
k=477, lambda=641, x3=545, y3=281, kP=(545, 281)
k=478, lambda=376, x3=391, y3=547, kP=(391, 547)
k=479, lambda=73, x3=429, y3=434, kP=(429, 434)
k=480, lambda=343, x3=61, y3=373, kP=(61, 373)
k=481, lambda=71, x3=471, y3=557, kP=(471, 557)
k=482, lambda=558, x3=727, y3=36, kP=(727, 36)
k=483, lambda=305, x3=673, y3=663, kP=(673, 663)
k=484, lambda=233, x3=292, y3=243, kP=(292, 243)
k=485, lambda=388, x3=49, y3=166, kP=(49, 166)
k=486, lambda=134, x3=631, y3=701, kP=(631, 701)
k=487, lambda=550, x3=715, y3=412, kP=(715, 412)
k=488, lambda=163, x3=317, y3=627, kP=(317, 627)
k=489, lambda=454, x3=22, y3=376, kP=(22, 376)
k=490, lambda=375, x3=163, y3=70, kP=(163, 70)
k=491, lambda=282, x3=503, y3=178, kP=(503, 178)
k=492, lambda=499, x3=665, y3=92, kP=(665, 92)
k=493, lambda=556, x3=558, y3=71, kP=(558, 71)
k=494, lambda=425, x3=575, y3=214, kP=(575, 214)
k=495, lambda=431, x3=437, y3=686, kP=(437, 686)
k=496, lambda=95, x3=324, y3=286, kP=(324, 286)
k=497, lambda=429, x3=470, y3=164, kP=(470, 164)
k=498, lambda=449, x3=611, y3=362, kP=(611, 362)
k=499, lambda=633, x3=543, y3=626, kP=(543, 626)
k=500, lambda=563, x3=252, y3=240, kP=(252, 240)
k=501, lambda=203, x3=400, y3=507, kP=(400, 507)
k=502, lambda=582, x3=371, y3=600, kP=(371, 600)
k=503, lambda=422, x3=474, y3=243, kP=(474, 243)
k=504, lambda=490, x3=54, y3=534, kP=(54, 534)
k=505, lambda=25, x3=568, y3=134, kP=(568, 134)
k=506, lambda=500, x3=97, y3=303, kP=(97, 303)
k=507, lambda=91, x3=671, y3=33, kP=(671, 33)
k=508, lambda=615, x3=549, y3=648, kP=(549, 648)
k=509, lambda=246, x3=635, y3=726, kP=(635, 726)
k=510, lambda=177, x3=651, y3=197, kP=(651, 197)
k=511, lambda=319, x3=473, y3=260, kP=(473, 260)
k=512, lambda=400, x3=312, y3=305, kP=(312, 305)
k=513, lambda=436, x3=529, y3=460, kP=(529, 460)
k=514, lambda=749, x3=223, y3=430, kP=(223, 430)
k=515, lambda=275, x3=299, y3=449, kP=(299, 449)
k=516, lambda=344, x3=127, y3=141, kP=(127, 141)
k=517, lambda=746, x3=646, y3=201, kP=(646, 201)
k=518, lambda=33, x3=440, y3=589, kP=(440, 589)
k=519, lambda=101, x3=746, y3=47, kP=(746, 47)
k=520, lambda=277, x3=129, y3=385, kP=(129, 385)
k=521, lambda=450, x3=349, y3=498, kP=(349, 498)
k=522, lambda=709, x3=661, y3=590, kP=(661, 590)
k=523, lambda=341, x3=714, y3=112, kP=(714, 112)
k=524, lambda=35, x3=508, y3=339, kP=(508, 339)
k=525, lambda=307, x3=614, y3=163, kP=(614, 163)
k=526, lambda=15, x3=359, y3=658, kP=(359, 658)
k=527, lambda=660, x3=409, y3=137, kP=(409, 137)
k=528, lambda=472, x3=76, y3=80, kP=(76, 80)
k=529, lambda=217, x3=448, y3=304, kP=(448, 304)
k=530, lambda=323, x3=240, y3=41, kP=(240, 41)
k=531, lambda=54, x3=420, y3=2, kP=(420, 2)
k=532, lambda=36, x3=122, y3=212, kP=(122, 212)
k=533, lambda=292, x3=276, y3=631, kP=(276, 631)
k=534, lambda=679, x3=399, y3=715, kP=(399, 715)
k=535, lambda=474, x3=476, y3=337, kP=(476, 337)
k=536, lambda=142, x3=159, y3=368, kP=(159, 368)
k=537, lambda=243, x3=309, y3=732, kP=(309, 732)
k=538, lambda=719, x3=712, y3=148, kP=(712, 148)
k=539, lambda=104, x3=338, y3=447, kP=(338, 447)
k=540, lambda=221, x3=436, y3=425, kP=(436, 425)
k=541, lambda=497, x3=242, y3=616, kP=(242, 616)
k=542, lambda=565, x3=556, y3=712, kP=(556, 712)
k=543, lambda=133, x3=608, y3=633, kP=(608, 633)
k=544, lambda=649, x3=30, y3=491, kP=(30, 491)
k=545, lambda=741, x3=67, y3=630, kP=(67, 630)
k=546, lambda=526, x3=238, y3=295, kP=(238, 295)
k=547, lambda=161, x3=146, y3=248, kP=(146, 248)
k=548, lambda=259, x3=93, y3=712, kP=(93, 712)
k=549, lambda=158, x3=85, y3=552, kP=(85, 552)
k=550, lambda=318, x3=402, y3=27, kP=(402, 27)
k=551, lambda=544, x3=388, y3=79, kP=(388, 79)
k=552, lambda=363, x3=704, y3=116, kP=(704, 116)
k=553, lambda=88, x3=278, y3=573, kP=(278, 573)
k=554, lambda=581, x3=81, y3=483, kP=(81, 483)
k=555, lambda=189, x3=340, y3=132, kP=(340, 132)
k=556, lambda=504, x3=586, y3=550, kP=(586, 550)
k=557, lambda=265, x3=544, y3=66, kP=(544, 66)
k=558, lambda=200, x3=401, y3=747, kP=(401, 747)
k=559, lambda=717, x3=1, y3=673, kP=(1, 673)
k=560, lambda=44, x3=430, y3=728, kP=(430, 728)
k=561, lambda=466, x3=435, y3=697, kP=(435, 697)
k=562, lambda=278, x3=244, y3=582, kP=(244, 582)
k=563, lambda=46, x3=367, y3=519, kP=(367, 519)
k=564, lambda=119, x3=273, y3=153, kP=(273, 153)
k=565, lambda=20, x3=124, y3=574, kP=(124, 574)
k=566, lambda=135, x3=74, y3=168, kP=(74, 168)
k=567, lambda=108, x3=322, y3=84, kP=(322, 84)
k=568, lambda=650, x3=113, y3=586, kP=(113, 586)
k=569, lambda=647, x3=186, y3=247, kP=(186, 247)
k=570, lambda=543, x3=268, y3=287, kP=(268, 287)
k=571, lambda=548, x3=384, y3=731, kP=(384, 731)
k=572, lambda=609, x3=251, y3=660, kP=(251, 660)
k=573, lambda=687, x3=87, y3=109, kP=(87, 109)
k=574, lambda=28, x3=694, y3=168, kP=(694, 168)
k=575, lambda=473, x3=736, y3=243, kP=(736, 243)
k=576, lambda=446, x3=664, y3=327, kP=(664, 327)
k=577, lambda=639, x3=612, y3=608, kP=(612, 608)
k=578, lambda=366, x3=414, y3=515, kP=(414, 515)
k=579, lambda=120, x3=465, y3=124, kP=(465, 124)
k=580, lambda=10, x3=383, y3=696, kP=(383, 696)
k=581, lambda=69, x3=620, y3=224, kP=(620, 224)
k=582, lambda=245, x3=73, y3=113, kP=(73, 113)
k=583, lambda=613, x3=193, y3=676, kP=(193, 676)
k=584, lambda=296, x3=304, y3=263, kP=(304, 263)
k=585, lambda=672, x3=677, y3=666, kP=(677, 666)
k=586, lambda=50, x3=318, y3=11, kP=(318, 11)
k=587, lambda=391, x3=107, y3=631, kP=(107, 631)
k=588, lambda=562, x3=314, y3=191, kP=(314, 191)
k=589, lambda=428, x3=374, y3=414, kP=(374, 414)
k=590, lambda=244, x3=581, y3=146, kP=(581, 146)
k=591, lambda=442, x3=271, y3=192, kP=(271, 192)
k=592, lambda=152, x3=300, y3=657, kP=(300, 657)
k=593, lambda=384, x3=708, y3=381, kP=(708, 381)
k=594, lambda=596, x3=33, y3=134, kP=(33, 134)
k=595, lambda=655, x3=168, y3=59, kP=(168, 59)
k=596, lambda=460, x3=398, y3=32, kP=(398, 32)
k=597, lambda=367, x3=610, y3=268, kP=(610, 268)
k=598, lambda=405, x3=445, y3=469, kP=(445, 469)
k=599, lambda=261, x3=83, y3=138, kP=(83, 138)
k=600, lambda=302, x3=247, y3=651, kP=(247, 651)
k=601, lambda=215, x3=164, y3=672, kP=(164, 672)
k=602, lambda=256, x3=32, y3=76, kP=(32, 76)
k=603, lambda=572, x3=464, y3=650, kP=(464, 650)
k=604, lambda=697, x3=196, y3=649, kP=(196, 649)
k=605, lambda=229, x3=423, y3=689, kP=(423, 689)
k=606, lambda=665, x3=211, y3=605, kP=(211, 605)
k=607, lambda=187, x3=209, y3=520, kP=(209, 520)
k=608, lambda=316, x3=512, y3=611, kP=(512, 611)
k=609, lambda=733, x3=560, y3=253, kP=(560, 253)
k=610, lambda=622, x3=307, y3=154, kP=(307, 154)
k=611, lambda=40, x3=539, y3=329, kP=(539, 329)
k=612, lambda=257, x3=170, y3=629, kP=(170, 629)
k=613, lambda=314, x3=42, y3=511, kP=(42, 511)
k=614, lambda=475, x3=280, y3=591, kP=(280, 591)
k=615, lambda=463, x3=51, y3=296, kP=(51, 296)
k=616, lambda=225, x3=254, y3=591, kP=(254, 591)
k=617, lambda=496, x3=182, y3=575, kP=(182, 575)
k=618, lambda=150, x3=536, y3=397, kP=(536, 397)
k=619, lambda=732, x3=573, y3=306, kP=(573, 306)
k=620, lambda=322, x3=221, y3=388, kP=(221, 388)
k=621, lambda=298, x3=713, y3=192, kP=(713, 192)
k=622, lambda=252, x3=455, y3=238, kP=(455, 238)
k=623, lambda=592, x3=40, y3=616, kP=(40, 616)
k=624, lambda=605, x3=245, y3=25, kP=(245, 25)
k=625, lambda=599, x3=326, y3=271, kP=(326, 271)
k=626, lambda=510, x3=676, y3=718, kP=(676, 718)
k=627, lambda=222, x3=541, y3=714, kP=(541, 714)
k=628, lambda=448, x3=394, y3=556, kP=(394, 556)
k=629, lambda=11, x3=475, y3=55, kP=(475, 55)
k=630, lambda=339, x3=291, y3=739, kP=(291, 739)
k=631, lambda=26, x3=382, y3=650, kP=(382, 650)
k=632, lambda=612, x3=161, y3=173, kP=(161, 173)
k=633, lambda=329, x3=684, y3=490, kP=(684, 490)
k=634, lambda=315, x3=157, y3=295, kP=(157, 295)
k=635, lambda=75, x3=208, y3=386, kP=(208, 386)
k=636, lambda=566, x3=219, y3=147, kP=(219, 147)
k=637, lambda=171, x3=481, y3=111, kP=(481, 111)
k=638, lambda=360, x3=695, y3=202, kP=(695, 202)
k=639, lambda=595, x3=357, y3=391, kP=(357, 391)
k=640, lambda=122, x3=255, y3=37, kP=(255, 37)
k=641, lambda=617, x3=425, y3=213, kP=(425, 213)
k=642, lambda=287, x3=82, y3=598, kP=(82, 598)
k=643, lambda=93, x3=303, y3=628, kP=(303, 628)
k=644, lambda=708, x3=41, y3=122, kP=(41, 122)
k=645, lambda=82, x3=672, y3=706, kP=(672, 706)
k=646, lambda=193, x3=526, y3=436, kP=(526, 436)
k=647, lambda=176, x3=407, y3=231, kP=(407, 231)
k=648, lambda=627, x3=697, y3=432, kP=(697, 432)
k=649, lambda=98, x3=643, y3=354, kP=(643, 354)
k=650, lambda=254, x3=35, y3=123, kP=(35, 123)
k=651, lambda=27, x3=691, y3=189, kP=(691, 189)
k=652, lambda=21, x3=498, y3=109, kP=(498, 109)
k=653, lambda=601, x3=220, y3=247, kP=(220, 247)
k=654, lambda=451, x3=408, y3=579, kP=(408, 579)
k=655, lambda=643, x3=739, y3=623, kP=(739, 623)
k=656, lambda=610, x3=364, y3=574, kP=(364, 574)
k=657, lambda=738, x3=553, y3=381, kP=(553, 381)
k=658, lambda=723, x3=228, y3=282, kP=(228, 282)
k=659, lambda=345, x3=136, y3=667, kP=(136, 667)
k=660, lambda=739, x3=5, y3=14, kP=(5, 14)
k=661, lambda=2, x3=747, y3=4, kP=(747, 4)
k=662, lambda=430, x3=155, y3=718, kP=(155, 718)
k=663, lambda=143, x3=14, y3=670, kP=(14, 670)
k=664, lambda=60, x3=579, y3=727, kP=(579, 727)
k=665, lambda=498, x3=343, y3=396, kP=(343, 396)
k=666, lambda=518, x3=622, y3=25, kP=(622, 25)
k=667, lambda=529, x3=595, y3=740, kP=(595, 740)
k=668, lambda=156, x3=457, y3=511, kP=(457, 511)
k=669, lambda=59, x3=17, y3=666, kP=(17, 666)
k=670, lambda=476, x3=505, y3=607, kP=(505, 607)
k=671, lambda=260, x3=253, y3=327, kP=(253, 327)
k=672, lambda=551, x3=692, y3=357, kP=(692, 357)
k=673, lambda=273, x3=236, y3=216, kP=(236, 216)
k=674, lambda=17, x3=50, y3=693, kP=(50, 693)
k=675, lambda=414, x3=115, y3=184, kP=(115, 184)
k=676, lambda=310, x3=605, y3=369, kP=(605, 369)
k=677, lambda=174, x3=379, y3=654, kP=(379, 654)
k=678, lambda=537, x3=354, y3=4, kP=(354, 4)
k=679, lambda=552, x3=192, y3=51, kP=(192, 51)
k=680, lambda=183, x3=250, y3=600, kP=(250, 600)
k=681, lambda=574, x3=285, y3=338, kP=(285, 338)
k=682, lambda=374, x3=653, y3=214, kP=(653, 214)
k=683, lambda=169, x3=118, y3=81, kP=(118, 81)
k=684, lambda=190, x3=682, y3=152, kP=(682, 152)
k=685, lambda=603, x3=191, y3=27, kP=(191, 27)
k=686, lambda=68, x3=675, y3=105, kP=(675, 105)
k=687, lambda=303, x3=260, y3=223, kP=(260, 223)
k=688, lambda=445, x3=249, y3=166, kP=(249, 166)
k=689, lambda=715, x3=293, y3=667, kP=(293, 667)
k=690, lambda=269, x3=720, y3=124, kP=(720, 124)
k=691, lambda=85, x3=494, y3=311, kP=(494, 311)
k=692, lambda=435, x3=227, y3=180, kP=(227, 180)
k=693, lambda=678, x3=593, y3=253, kP=(593, 253)
k=694, lambda=353, x3=98, y3=250, kP=(98, 250)
k=695, lambda=714, x3=517, y3=233, kP=(517, 233)
k=696, lambda=411, x3=177, y3=572, kP=(177, 572)
k=697, lambda=478, x3=0, y3=673, kP=(0, 673)
k=698, lambda=530, x3=23, y3=655, kP=(23, 655)
k=699, lambda=220, x3=310, y3=40, kP=(310, 40)
k=700, lambda=619, x3=589, y3=740, kP=(589, 740)
k=701, lambda=519, x3=662, y3=425, kP=(662, 425)
k=702, lambda=722, x3=176, y3=501, kP=(176, 501)
k=703, lambda=94, x3=396, y3=598, kP=(396, 598)
k=704, lambda=334, x3=9, y3=239, kP=(9, 239)
k=705, lambda=664, x3=47, y3=63, kP=(47, 63)
k=706, lambda=701, x3=197, y3=678, kP=(197, 678)
k=707, lambda=197, x3=308, y3=736, kP=(308, 736)
k=708, lambda=517, x3=373, y3=205, kP=(373, 205)
k=709, lambda=579, x3=670, y3=562, kP=(670, 562)
k=710, lambda=208, x3=535, y3=482, kP=(535, 482)
k=711, lambda=63, x3=427, y3=314, kP=(427, 314)
k=712, lambda=525, x3=329, y3=68, kP=(329, 68)
k=713, lambda=14, x3=615, y3=434, kP=(615, 434)
k=714, lambda=467, x3=432, y3=164, kP=(432, 164)
k=715, lambda=424, x3=603, y3=179, kP=(603, 179)
k=716, lambda=352, x3=134, y3=440, kP=(134, 440)
k=717, lambda=181, x3=331, y3=702, kP=(331, 702)
k=718, lambda=689, x3=506, y3=385, kP=(506, 385)
k=719, lambda=268, x3=721, y3=573, kP=(721, 573)
k=720, lambda=165, x3=216, y3=142, kP=(216, 142)
k=721, lambda=667, x3=78, y3=282, kP=(78, 282)
k=722, lambda=284, x3=218, y3=512, kP=(218, 512)
k=723, lambda=170, x3=141, y3=562, kP=(141, 562)
k=724, lambda=4, x3=623, y3=514, kP=(623, 514)
k=725, lambda=214, x3=110, y3=373, kP=(110, 373)
k=726, lambda=607, x3=346, y3=567, kP=(346, 567)
k=727, lambda=549, x3=652, y3=414, kP=(652, 414)
k=728, lambda=320, x3=360, y3=653, kP=(360, 653)
k=729, lambda=290, x3=376, y3=715, kP=(376, 715)
k=730, lambda=469, x3=290, y3=567, kP=(290, 567)
k=731, lambda=418, x3=199, y3=672, kP=(199, 672)
k=732, lambda=103, x3=644, y3=55, kP=(644, 55)
k=733, lambda=102, x3=745, y3=157, kP=(745, 157)
k=734, lambda=234, x3=687, y3=648, kP=(687, 648)
k=735, lambda=394, x3=591, y3=377, kP=(591, 377)
k=736, lambda=30, x3=306, y3=663, kP=(306, 663)
k=737, lambda=540, x3=654, y3=669, kP=(654, 669)
k=738, lambda=61, x3=60, y3=268, kP=(60, 268)
k=739, lambda=716, x3=411, y3=1, kP=(411, 1)
k=740, lambda=381, x3=555, y3=709, kP=(555, 709)
k=741, lambda=38, x3=135, y3=231, kP=(135, 231)
k=742, lambda=417, x3=270, y3=550, kP=(270, 550)
k=743, lambda=483, x3=206, y3=322, kP=(206, 322)
k=744, lambda=279, x3=279, y3=339, kP=(279, 339)
k=745, lambda=559, x3=534, y3=557, kP=(534, 557)
k=746, lambda=670, x3=16, y3=292, kP=(16, 292)
k=747, lambda=195, x3=456, y3=273, kP=(456, 273)
k=748, lambda=47, x3=248, y3=491, kP=(248, 491)
k=749, lambda=520, x3=540, y3=122, kP=(540, 122)
k=750, lambda=196, x3=323, y3=354, kP=(323, 354)
k=751, lambda=508, x3=145, y3=701, kP=(145, 701)
k=752, lambda=740, x3=724, y3=411, kP=(724, 411)
k=753, lambda=262, x3=327, y3=716, kP=(327, 716)
k=754, lambda=730, x3=111, y3=5, kP=(111, 5)
k=755, lambda=744, x3=686, y3=265, kP=(686, 265)
k=756, lambda=184, x3=123, y3=440, kP=(123, 440)
k=757, lambda=692, x3=351, y3=245, kP=(351, 245)
k=758, lambda=128, x3=259, y3=266, kP=(259, 266)
k=759, lambda=1, x3=490, y3=254, kP=(490, 254)
k=760, lambda=147, x3=88, y3=262, kP=(88, 262)
k=761, lambda=162, x3=619, y3=81, kP=(619, 81)
