0,None,None,None,"(0, 376)"
2,750,1,376,"(0, 376)"
3,0,750,375,"(0, 376)"
4,1,2,373,"(0, 376)"
5,374,188,657,"(0, 376)"
6,373,6,390,"(0, 376)"
7,503,667,571,"(0, 376)"
8,400,121,39,"(0, 376)"
9,171,582,736,"(0, 376)"
10,620,57,332,"(0, 376)"
11,658,331,367,"(0, 376)"
12,574,207,215,"(0, 376)"
13,333,285,96,"(0, 376)"
14,223,629,545,"(0, 376)"
15,251,39,349,"(0, 376)"
16,577,197,107,"(0, 376)"
17,113,556,631,"(0, 376)"
18,172,490,207,"(0, 376)"
19,274,237,23,"(0, 376)"
20,233,731,529,"(0, 376)"
21,105,531,194,"(0, 376)"
22,745,256,409,"(0, 376)"
23,50,742,74,"(0, 376)"
24,117,180,343,"(0, 376)"
25,513,139,413,"(0, 376)"
26,627,217,247,"(0, 376)"
27,477,510,429,"(0, 376)"
28,408,734,552,"(0, 376)"
29,78,93,631,"(0, 376)"
30,245,603,587,"(0, 376)"
31,369,378,579,"(0, 376)"
32,682,628,149,"(0, 376)"
33,704,79,333,"(0, 376)"
34,66,522,469,"(0, 376)"
35,462,389,146,"(0, 376)"
36,428,302,291,"(0, 376)"
37,604,279,83,"(0, 376)"
38,505,157,696,"(0, 376)"
39,533,54,131,"(0, 376)"
40,65,416,371,"(0, 376)"
41,482,600,310,"(0, 376)"
42,458,386,72,"(0, 376)"
43,579,660,494,"(0, 376)"
44,139,637,450,"(0, 376)"
45,724,92,606,"(0, 376)"
46,378,102,120,"(0, 376)"
47,292,299,183,"(0, 376)"
48,567,513,141,"(0, 376)"
49,326,623,47,"(0, 376)"
50,337,296,506,"(0, 376)"
51,107,639,343,"(0, 376)"
52,7,161,750,"(0, 376)"
53,730,280,247,"(0, 376)"
54,426,205,161,"(0, 376)"
55,695,678,42,"(0, 376)"
56,735,329,382,"(0, 376)"
57,121,43,429,"(0, 376)"
58,368,201,5,"(0, 376)"
59,723,583,177,"(0, 376)"
60,104,470,310,"(0, 376)"
61,345,648,613,"(0, 376)"
62,581,465,570,"(0, 376)"
63,535,380,596,"(0, 376)"
64,633,26,439,"(0, 376)"
65,609,612,163,"(0, 376)"
66,504,317,570,"(0, 376)"
67,446,335,414,"(0, 376)"
68,509,402,29,"(0, 376)"
69,412,367,122,"(0, 376)"
70,560,66,214,"(0, 376)"
71,612,480,256,"(0, 376)"
72,563,318,79,"(0, 376)"
73,77,354,153,"(0, 376)"
74,447,440,457,"(0, 376)"
75,630,683,408,"(0, 376)"
76,618,484,161,"(0, 376)"
77,88,501,596,"(0, 376)"
78,660,270,162,"(0, 376)"
79,511,254,504,"(0, 376)"
80,308,735,46,"(0, 376)"
81,490,547,452,"(0, 376)"
82,677,423,135,"(0, 376)"
83,406,695,581,"(0, 376)"
84,573,198,322,"(0, 376)"
85,68,671,558,"(0, 376)"
86,392,540,477,"(0, 376)"
87,569,291,16,"(0, 376)"
88,262,12,235,"(0, 376)"
89,176,173,718,"(0, 376)"
